Id,Name,Category,Description,Discount,Price
1,Trailblazer Boots,Footwear,Rugged all-terrain hiking boots.,10,120.00
2,Summit Tent,Outdoor,"4-person, weather-resistant tent.",15,250.00
3,Zen Yoga Mat,Fitness,"Eco-friendly, non-slip yoga mat.",5,35.00
4,Electric Blender,Appliances,High-speed blender for smoothies.,20,99.99
5,Gourmet Coffee,Groceries,Organic fair-trade coffee beans.,0,15.99
6,Smart Thermostat,Electronics,"Wifi-enabled, energy-saving device.",10,199.00
7,Classic Sunglasses,Accessories,UV protection with a retro style.,25,50.00
8,Steel Water Bottle,Gear,Insulated stainless-steel bottle.,0,25.00
9,Bluetooth Headset,Electronics,Noise-cancelling wireless headset.,5,89.99
10,Leather Wallet,Accessories,Handcrafted leather billfold.,15,45.00
